date,총지수
기간,총지수
Jan-16,100.63
Feb-16,101.03
Mar-16,100.71
Apr-16,100.88
May-16,100.92
Jun-16,100.87
Jul-16,100.76
Aug-16,101.15
Sep-16,101.72
Oct-16,101.86
Nov-16,101.73
Dec-16,101.89
Jan-17,102.61
Feb-17,102.89
Mar-17,103.01
Apr-17,102.92
May-17,103.04
Jun-17,102.98
Jul-17,103.35
Aug-17,104
Sep-17,103.91
Oct-17,103.54
Nov-17,102.94
Dec-17,103.21
Jan-18,103.63
Feb-18,104.37
Mar-18,104.44
Apr-18,104.63
May-18,104.68
Jun-18,104.39
Jul-18,104.66
Aug-18,105.21
Sep-18,105.81
Oct-18,105.46
