기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복ㆍ신발	의복ㆍ신발	의복ㆍ신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설 유지·보수	수도 및 주거관련 서비스	전기가스 및 기타연료	계	가구ㆍ가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향ㆍ영상ㆍ사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품ㆍ조경용품 및 애완동물	오락 및 문화서비스	신문ㆍ서적 및 문방구	단체여행	계	유치원 및 초등교육	중등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2016.11	구분	101.73	103.07	103.28	100.04	101.15	103.55	100	101.98	102.16	100.91	100.95	103.31	99.49	102.92	90.95	101.69	105.58	103.4	99.63	101.58	100.85	101	101.03	99.95	101.7	101.63	100.08	99.98	96.83	103.7	100.04	100	99.82	100.09	101.33	97.72	103.52	105.43	102.38	101.1	99.19	102.21	102.7	100.11	100.05	103.03	103.2	103.28	100.27	103.51	99.47	103.46	110.84
2016.12	구분	101.89	104.32	104.58	100.48	101.05	103.24	100	102.43	102.07	104.6	100.39	103.55	100.19	104.19	86.01	102.08	107.18	103.41	99.52	101.59	101.12	101.36	101.1	100.13	101.7	101.63	100.88	100.65	98.08	104.07	100.04	100	99.82	100.09	101.34	97.33	100.17	104.29	102.38	101.3	99.96	102.24	102.7	100.11	100.05	103.07	103.49	103.53	101.85	102.98	98.44	103.82	110.84
2017.01	구분	102.61	106.27	106.68	100.36	101.22	103.78	100	101.85	102.13	100.14	100.54	103.65	100.68	104.82	86.01	101.15	107.11	103.69	99.24	93.97	101.31	100.83	102.15	99.83	103.63	103.37	102.31	101.41	100.76	104.48	100.04	100	99.82	100.09	102.75	97.92	101.46	105.25	102.69	101.47	103.9	102.61	102.7	100.11	100.05	103.61	103.73	103.78	102.23	106.05	99.6	103.57	118.71
2017.02	구분	102.89	106.47	106.96	99.27	102.03	106.28	100	102.47	102.13	104.5	101.03	103.91	101.19	107.49	86.02	102.07	107.15	103.69	100.58	99.33	101.17	100.96	102.1	99.7	103.63	103.37	102.65	101.76	101.49	104.39	100.04	100	99.82	100.09	101.89	96.96	101.43	105.99	102.69	102.01	100.44	102.89	102.7	100.11	100.05	104.02	104.17	104.26	101.13	106.33	99.75	105.01	118.74
2017.03	구분	103.01	106.61	107.08	99.71	102.4	107.43	100	102.48	102.15	104.49	101.49	104.1	101.96	108.08	87.34	102.64	107.11	102.78	102.01	104.7	101.35	100.08	102.06	99.56	103.63	103.43	102.42	101.84	101.38	103.87	99.43	100	95.96	100.09	101.4	99.02	101.89	104.85	102.8	101.32	98.72	102.97	102.87	101.21	99.97	104.05	104.57	104.68	100.67	106.22	99.4	105	119.03
2017.04	구분	102.92	105.38	105.92	97.54	102.51	107.77	100	101.52	102.21	97.31	101.64	104.29	103.18	108.02	87.34	102.46	107.16	102.11	101.89	99.91	101.69	101.1	101.78	98.76	103.63	103.55	102.04	101.76	100.15	104.27	100.11	109.07	100.02	100.09	103.07	99.05	102.1	104.41	103.06	102.03	104.3	103.05	102.87	101.21	99.97	104.15	104.75	104.85	101.46	105.83	99.27	102.5	119.04
2017.05	구분	103.04	105.19	105.81	96.09	102.45	107.58	100	102.86	102.58	104.55	102.02	104.55	103.6	108.35	88.22	102.75	108.19	102.83	102.05	101.26	101.38	100.73	101.73	98.64	103.63	103.55	102.11	101.69	99.95	104.7	100.11	109.07	100.02	100.09	102.19	99.41	102.43	104.88	102.98	102.03	100.83	103.04	102.87	101.21	99.97	104.14	105.09	105.16	102.58	105.53	98.13	105.09	119.05
2017.06	구분	102.98	105.3	105.79	98.03	102.57	107.94	100	102.99	102.6	105.32	102.1	104.71	103.8	107.98	88.21	103.81	109.18	103.06	101.51	103.02	101.72	103.37	102.21	99.9	103.63	103.55	101.51	101.44	99.14	104.14	100.3	109.07	101.23	100.09	100.38	98.85	101.98	104.61	102.98	102.89	94.16	103.06	102.87	101.21	99.97	104.17	105.07	105.16	102.03	105.17	97.5	105.09	119.05
2017.07	구분	103.35	106.6	107.18	98.22	102.6	108.05	100	102.29	102.6	100.44	102.25	104.84	104.48	108.35	88.28	102.73	109.11	103.06	100.95	99.11	102.18	101.58	102.26	100.04	103.63	103.55	101.31	100.97	98.1	105	100.79	109.07	104.26	100.09	103.57	98.19	102.1	104.76	103.07	102.28	106.08	103.05	102.87	101.21	99.97	104.16	105.43	105.38	107.19	105.23	97.84	104	119.09
2017.08	구분	104	110.02	110.72	99.77	102.7	108.36	100	103.02	102.6	105.58	102.39	104.96	104.48	108.83	88.28	103.14	109.18	99.52	101.65	103.78	101.71	101.72	102.25	100	103.63	103.55	101.68	100.59	99.07	105.12	100.79	109.07	104.27	100.09	103.72	97.14	101.86	104.9	103.1	102.29	106.85	103.13	102.87	101.21	99.97	104.27	105.99	105.86	110.58	105.63	98.51	104.72	118.85
